photo_log_row,context_id,context_source,photo_raw,photo_ids,photo_count,TU_col_D,Level_col_E
49,TUB/W CABIN 5&6-LROW 5,TU_Level,EPAS2021 100-EPAS2021 101,EPAS2021 100; EPAS2021 101,2,B/W CABIN 5&6,ROW 5
50,TUB/W CABIN 5&6-LROW 2,TU_Level,EPAS2021 102-EPAS2021 103,EPAS2021 102; EPAS2021 103,2,B/W CABIN 5&6,ROW 2
51,TUB/W CABIN 5&6-LROW 2,TU_Level,EPAS2021 104-EPAS2021 105,EPAS2021 104; EPAS2021 105,2,B/W CABIN 5&6,ROW 2
52,TUB/W CABIN 5&6-LROW 2,TU_Level,EPAS2021 106,EPAS2021 106,1,B/W CABIN 5&6,ROW 2
53,TUCABIN 7-LROW 3,TU_Level,EPAS2021 107-EPAS2021 108,EPAS2021 107; EPAS2021 108,2,CABIN 7,ROW 3
54,TUCABIN 7-LROW 3,TU_Level,EPAS2021 109-EPAS2021 110,EPAS2021 109; EPAS2021 110,2,CABIN 7,ROW 3
55,TUCABIN 7-LROW 2,TU_Level,EPAS2021 111-EPAS2021 112,EPAS2021 111; EPAS2021 112,2,CABIN 7,ROW 2
56,TUCABIN 7-LROW 3,TU_Level,EPAS2021 113,EPAS2021 113,1,CABIN 7,ROW 3
57,TUCABIN 7-LROW 3,TU_Level,EPAS2021 114,EPAS2021 114,1,CABIN 7,ROW 3
58,TUCABIN 1-LROW 1,TU_Level,EPAS2021 115-EPAS2021 116,EPAS2021 115; EPAS2021 116,2,CABIN 1,ROW 1
59,TUCABIN 1-LROW 1,TU_Level,EPAS2021 117,EPAS2021 117,1,CABIN 1,ROW 1
60,TUCABIN 6-LROW 1,TU_Level,EPAS2021 118,EPAS2021 118,1,CABIN 6,ROW 1
61,TUCABIN 6-LROW 5,TU_Level,EPAS2021 119-EPAS2021 120,EPAS2021 119; EPAS2021 120,2,CABIN 6,ROW 5
62,TUCABIN 6-LROW 5,TU_Level,EPAS2021 121,EPAS2021 121,1,CABIN 6,ROW 5
63,TUCABIN 6-LROW 5,TU_Level,EPAS2021 122-EPAS2021 123,EPAS2021 122; EPAS2021 123,2,CABIN 6,ROW 5
64,TUCABIN 6-LROW 5,TU_Level,EPAS2021 124,EPAS2021 124,1,CABIN 6,ROW 5
65,TUCABIN 6-LROW 5,TU_Level,EPAS2021 125-EPAS2021 126,EPAS2021 125; EPAS2021 126,2,CABIN 6,ROW 5
66,TUCABIN 6-LROW 5,TU_Level,EPAS2021 127-EPAS2021 129,EPAS2021 127; EPAS2021 128; EPAS2021 129,3,CABIN 6,ROW 5
